symbol,date,industry,market_cap,pe_ttm,pb,source
000026,2026-08-31,珠宝首饰,8241000000.0,78.21,2.44,tencent.quote+sina.sw_industry
000034,2026-08-31,IT服务,24605000000.0,41.52,2.15,tencent.quote+sina.sw_industry
000676,2026-08-31,移动互联网服务,8680000000.0,42.87,2.01,tencent.quote+sina.sw_industry
000729,2026-08-31,啤酒,32131000000.0,16.27,1.97,tencent.quote+sina.sw_industry
000759,2026-08-31,超市,4015000000.0,-4.02,7.95,tencent.quote+sina.sw_industry
000892,2026-08-31,影视动漫,4218000000.0,-10.83,8.34,tencent.quote+sina.sw_industry
000938,2026-08-31,IT服务,111400000000.0,39.62,6.23,tencent.quote+sina.sw_industry
001301,2026-08-31,锂,21239000000.0,24.52,2.95,tencent.quote+sina.sw_industry
001330,2026-08-31,影视动漫,7711000000.0,-13.35,2.08,tencent.quote+sina.sw_industry
002080,2026-08-31,玻纤,89528000000.0,44.17,4.39,tencent.quote+sina.sw_industry
002083,2026-08-31,棉纺,9930000000.0,16.95,2.05,tencent.quote+sina.sw_industry
002156,2026-08-31,集成电路,97976000000.0,38.82,5.82,tencent.quote+sina.sw_industry
002281,2026-08-31,通信传输设备,148930000000.0,128.82,10.3,tencent.quote+sina.sw_industry
002353,2026-08-31,冶金矿采化工设备,133367000000.0,50.61,5.73,tencent.quote+sina.sw_industry
002384,2026-08-31,印制电路板,362658000000.0,101.16,14.88,tencent.quote+sina.sw_industry
002407,2026-08-31,氟化工及制冷剂,43415000000.0,64.48,5.0,tencent.quote+sina.sw_industry
002512,2026-08-31,计算机,4443000000.0,-38.32,13.79,tencent.quote+sina.sw_industry
002517,2026-08-31,移动互联网服务,36683000000.0,15.4,3.5,tencent.quote+sina.sw_industry
002552,2026-08-31,机械基础件,20497000000.0,86.04,12.51,tencent.quote+sina.sw_industry
002579,2026-08-31,印制电路板,8993000000.0,-111.35,3.91,tencent.quote+sina.sw_industry
002655,2026-08-31,电子系统组装,14281000000.0,318.04,16.32,tencent.quote+sina.sw_industry
002739,2026-08-31,影视动漫,18119000000.0,-102.53,2.52,tencent.quote+sina.sw_industry
002747,2026-08-31,其它通用机械,30639999999.999996,153.5,9.35,tencent.quote+sina.sw_industry
002832,2026-08-31,其他服装,14485000000.0,23.1,2.67,tencent.quote+sina.sw_industry
002851,2026-08-31,电气设备,76402000000.0,340.73,8.36,tencent.quote+sina.sw_industry
002957,2026-08-31,其它专用机械,17522000000.0,56.27,5.3,tencent.quote+sina.sw_industry
002975,2026-08-31,其它专用机械,22457000000.0,75.58,9.09,tencent.quote+sina.sw_industry
003001,2026-08-31,其他专业工程,2814000000.0,-104.9,2.43,tencent.quote+sina.sw_industry
300189,2026-08-31,种子生产,6441000000.0,59.63,9.4,tencent.quote+sina.sw_industry
300191,2026-08-31,油气钻采服务,12182000000.0,64.49,9.91,tencent.quote+sina.sw_industry
300209,2026-08-31,软件开发,32382000000.0,-443.31,34.46,tencent.quote+sina.sw_industry
300285,2026-08-31,无机盐,69763000000.0,108.77,9.58,tencent.quote+sina.sw_industry
300328,2026-08-31,铝,12082000000.0,-232.87,11.68,tencent.quote+sina.sw_industry
300476,2026-08-31,印制电路板,238954000000.0,47.55,6.3,tencent.quote+sina.sw_industry
300622,2026-08-31,专业连锁,5015000000.0,28.56,5.41,tencent.quote+sina.sw_industry
300666,2026-08-31,半导体材料,67359000000.0,85.64,9.24,tencent.quote+sina.sw_industry
300726,2026-08-31,被动元件,22602000000.0,53.28,4.59,tencent.quote+sina.sw_industry
300776,2026-08-31,其它专用机械,32967000000.0,66.15,6.68,tencent.quote+sina.sw_industry
300863,2026-08-31,汽车零部件,11397000000.0,82.61,7.86,tencent.quote+sina.sw_industry
300996,2026-08-31,软件开发,5644000000.0,82.59,4.39,tencent.quote+sina.sw_industry
301021,2026-08-31,其他电子,12327000000.0,164.38,11.72,tencent.quote+sina.sw_industry
301133,2026-08-31,汽车零部件,3721000000.0,-56.33,2.79,tencent.quote+sina.sw_industry
301191,2026-08-31,终端设备,8804000000.0,113.09,5.16,tencent.quote+sina.sw_industry
301217,2026-08-31,铜,102773000000.0,423.67,18.32,tencent.quote+sina.sw_industry
