archive_time,date,open,close,high,low,volume,turnover,amount,symbol,振幅,涨跌幅,涨跌额,industry,market_cap,pe_ttm,pb,ret_5,ret_20,ret_60,ret_120,daily_return,vol_20,sma_20_ratio,sma_60_ratio,volume_ratio_20,obv,obv_slope_20,amount_log,market_cap_log,earnings_yield,book_to_price,amount_ma20,rsi_14,macd_pct,signal_pct,atr_pct_14,vwap_dev,body_pct,close_position,upper_shadow_pct,lower_shadow_pct,bollinger_pctb,money_flow_20,entry_open,exit_open,entry_gap_return,entry_volume,future_return,future_market_return,future_excess_return,future_industry_return,future_industry_excess_return,model_raw,model_score,technical_score,volume_price_score,candle_score,sentiment_score,sentiment_source,news_count,composite_score,odds_sample_count,odds_win_rate,odds_avg_gain,odds_avg_loss,odds_reward_risk,odds_expected_return,conditional_sample_count,conditional_win_rate,conditional_win_rate_low,conditional_win_rate_high,conditional_expected_return,conditional_return_low,conditional_return_high,conditional_reward_risk,credibility_score,credibility_grade,credibility_strategy,credibility_conditional,credibility_stability,credibility_agreement,rank,rank_change,run_id
2026-09-17 22:31:05,2026-09-17,79.91,82.4,83.22,79.13,7730946.0,0.0715,317398400.0,688168,,,,,,,,0.1430156748508808,0.1587681057516525,-0.2726630770588755,-0.1595267237862097,0.0311600550619448,0.5015122620333008,0.1350174935948651,-0.0446432194595972,1.3979199146320818,198100101.0,0.1700774446164265,19.57566832823671,,,,205630310.0,62.13570688468973,0.0002404902043208,-0.0233740001784436,0.0642943828016643,0.0100102145045966,0.6088019559902218,0.7995110024449896,0.2004889975550104,0.1907090464547678,1.168750649831705,0.0143387240546175,,,,,,,,,,0.0115513289913779,93.5483870967742,69.13978494623657,79.19354838709678,78.9247311827957,50.0,无新闻/中性,8,78.75806451612904,1563,0.4708893154190659,0.1260492907271297,0.097044882291169,1.298876228722058,0.0080077801154002,,,,,,,,,45.92500247302025,低,27.784531322297926,0.0,100.0,83.93095384220581,1,+0,20260917T223104_score_32afefa4
2026-09-17 22:31:05,2026-09-17,35.79,38.12,38.12,33.79,36350200.0,0.3179,714545600.0,003001,,,,其他专业工程,2838000000.0,-105.81,2.45,0.2585011554968637,0.2643449419568822,0.4644640799077986,0.149577804583836,0.0960322024151809,0.5464914865408259,0.2291421477743562,0.201228959323547,10.058497519992155,-148021155.0,0.2705458638343881,20.387157375550967,21.766365415684263,,0.4081632653061224,115951876.9595,72.18060382299996,0.0087604215466632,-0.0142378146311235,0.0338405036726128,0.0393529037535216,0.5381062355658197,1.0,0.0,0.4618937644341803,1.399315426794829,0.0679187984864043,,,,,,,,,,6.938893903907228e-18,51.61290322580645,88.81720430107526,99.46236559139786,91.20967741935485,54.09090909090909,关键词新闻评分,3,74.69134897360703,1295,0.4594594594594595,0.1208626092445611,0.0893578454018968,1.352568526031129,0.0072299310572865,,,,,,,,,44.968333155808665,低,27.784531322297926,0.0,100.0,77.55315839412862,2,+0,20260917T223104_score_32afefa4
2026-09-17 22:31:05,2026-09-17,50.54,50.79,51.8,49.51,8233535.0,0.0487999999999999,291385100.0,688499,,,,,,,,0.1150384193194291,0.0254391278013323,-0.261558592614132,-0.2665703971119133,0.0067393458870168,0.3731640028028749,0.0520646691454433,-0.0321289732449119,2.039890687495736,212547011.0,0.0409864129257743,19.49015632138599,,,,137689555.0,56.76811416518645,-0.0180458323822691,-0.0305143092410219,0.0398981801817005,0.0017751479289942,0.1091703056768559,0.5589519650655029,0.4410480349344971,0.4497816593886469,0.7908942128728428,0.010663390894542,,,,,,,,,,0.016350027496473,95.6989247311828,58.924731182795696,75.86021505376344,62.5268817204301,50.0,无新闻/中性,5,74.6505376344086,1126,0.3738898756660746,0.1631049630883163,0.123330848244529,1.3224993212154577,-0.0162353983589803,,,,,,,,,45.66941161485976,低,27.784531322297926,0.0,100.0,82.22701478780256,3,+0,20260917T223104_score_32afefa4
2026-09-17 22:31:05,2026-09-17,58.0,60.58,60.99,58.0,6669700.0,0.0411,227442300.0,300727,,,,纺织化学用品,5494000000.0,53.55,4.06,0.1376525821596244,0.2775200337410375,-0.0167180652491478,0.1565483008781976,0.0295717199184226,0.4892516064530161,0.1346800400827879,0.141074018496776,1.789831149609806,936103028.0,0.0470949479875807,19.242407142209764,22.42692242461949,0.0186741363211951,0.2463054187192118,163304723.508,68.3030428907703,0.031770233429808,0.0215411004038425,0.0469626939584021,0.0120844239015425,0.8628762541806009,0.8628762541806009,0.1371237458193991,0.0,1.0471190860732429,0.0257937827364517,,,,,,,,,,2.775557561562892e-17,65.05376344086021,85.05376344086021,83.6021505376344,71.3978494623656,56.113426788495886,关键词新闻评分,6,73.50381579712916,1973,0.4936644703497212,0.1305038729119038,0.0991296532595455,1.3164968162474349,0.0142322598124218,,,,,,,,,46.48952347705432,低,27.784531322297926,0.0,100.0,87.69442720243293,4,+0,20260917T223104_score_32afefa4
2026-09-17 22:31:05,2026-09-17,5.44,5.44,5.54,5.4,69209700.0,0.0595,378342900.0,001330,,,,影视动漫,7931000000.0,-13.73,2.14,-0.0489510489510488,0.1333333333333335,-0.2150072150072148,-0.1976401179941003,0.0074074074074073,0.788744102578167,-0.016452721026939,0.0416799642560796,1.9256719888434857,4111900114.0,0.0658259829478117,19.75131148787869,22.794044968047597,,0.4672897196261682,743201837.4434999,48.81251145280538,0.0172251076742645,0.0250992732787468,0.0783876050420168,-0.0036630036630037,0.0,0.2857142857142866,0.7142857142857134,0.2857142857142866,0.4596338197781904,0.0204449665873041,,,,,,,,,,0.0315224283266445,100.0,51.45161290322581,77.95698924731181,40.053763440860216,51.63636363636363,关键词新闻评分,7,72.6233137829912,847,0.4769775678866588,0.1364392355061881,0.124102069136223,1.0994114478173844,0.0001702886861312,,,,,,,,,43.18085029124183,低,27.784531322297926,0.0,100.0,65.63660596368297,5,+0,20260917T223104_score_32afefa4
2026-09-17 22:31:05,2026-09-17,50.91,50.88,51.54,50.44,11428800.0,0.0296,200837600.0,605277,,,,线缆部件及其他,6594000000.0,26.34,3.74,0.0137477585176331,0.1756007393715342,-0.0710242833668066,-0.0563798219584569,-0.0128055878928986,0.591815139484368,0.0357462747333279,0.0897213942779631,0.601351209142761,551502436.0,0.1197645310663297,19.11800718422773,22.60942598159595,0.037965072133637,0.267379679144385,326879590.0,56.615028275206285,0.0292863986919718,0.0274933663413696,0.0461730682839173,-0.0014392254350383,0.0272727272727218,0.4000000000000038,0.5727272727272743,0.4000000000000038,0.6769136731958233,0.0112779729889885,,,,,,,,,,0.0095678540364434,92.47311827956987,69.83870967741935,55.26881720430108,48.38709677419355,59.230769230769226,关键词新闻评分,8,71.64081885856078,1238,0.4927302100161551,0.1200702668112816,0.0734667914924349,1.6343474973130618,0.0218947638914641,,,,,,,,,44.25668318775504,低,27.784531322297926,0.0,100.0,72.80882527377113,6,+0,20260917T223104_score_32afefa4
2026-09-17 22:31:05,2026-09-17,571.31,580.97,598.01,571.31,59261200.0,0.0754,11396427200.0,002281,,,,通信传输设备,138830000000.0,120.08,9.6,0.0650619637750238,0.1029121421520238,-0.2661647867220755,1.2148221569898214,0.0320282801008988,0.6780423589042246,0.0834929438773892,0.0030377557036691,3.3791786481289647,5556073582.0,0.0319957025266462,23.15656573980469,25.65651599999312,0.0083277814790139,0.1041666666666666,5601585955.7485,56.50308504557997,-0.0029072689755717,-0.012821310378211,0.0553446329906388,-0.004216444132115,0.3617977528089912,0.3617977528089912,0.6382022471910088,0.0,1.0440017691880985,0.0169438367619267,,,,,,,,,,0.0090597340898623,91.39784946236558,57.74193548387096,73.38709677419354,33.2258064516129,50.29032258064516,关键词新闻评分,7,69.45376344086021,1973,0.5174860618347694,0.1333945597037686,0.078452891548948,1.7003141257137928,0.0311752117095536,,,,,,,,,43.5031558637377,低,27.784531322297926,0.0,100.0,67.78530978032218,7,+0,20260917T223104_score_32afefa4
2026-09-17 22:31:05,2026-09-17,1389.1,1400.11,1442.16,1374.77,59336100.0,0.0428,11502149300.0,002384,,,,印制电路板,327253000000.0,91.29,13.43,-0.0010844516741224,-0.0208541676865302,-0.2972958051855495,0.8479397091043475,0.0079259952487222,0.5163434784315757,0.0135178176911558,-0.0692191694763328,4.484298612263597,10915580818.0,0.0067418955756384,23.165799750591912,26.513999408997687,0.0109541023113155,0.0744601638123603,11257606287.02,49.99826689712054,-0.0150215071443492,-0.0203581749082255,0.0515127893012487,-0.0039624950202038,0.1633773556907549,0.3760201810357602,0.6239798189642398,0.2126428253450052,0.5736142280732951,0.0110279675594666,,,,,,,,,,0.0217708474663016,97.8494623655914,42.1505376344086,69.78494623655914,47.20430107526881,50.0,无新闻/中性,6,68.46236559139784,1902,0.5483701366982124,0.16154217893357,0.0998230809983132,1.6182848427238956,0.0435018223186974,,,,,,,,,41.89769917433313,低,27.784531322297926,0.0,100.0,57.08226518429164,8,+0,20260917T223104_score_32afefa4
2026-09-17 22:31:05,2026-09-17,88.25,93.86,96.16,87.81,21893400.0,0.0304,447298200.0,603613,,,,互联网信息服务,14901000000.0,11.22,1.52,0.0426571872917129,0.1084081247047707,0.0514170494006944,-0.1686448184233835,0.0592483918293647,0.4864284949785527,0.0704835766423359,0.0946581088593521,1.826564248117196,151015904.0,0.4408690315090023,19.918736046485755,23.424694161739733,0.089126559714795,0.6578947368421053,235445705.0,61.32094396571974,0.013212147214188,0.0099136216922818,0.0396715472892757,0.0134974624770543,0.6718562874251501,0.724550898203593,0.275449101796407,0.0526946107784428,0.933567502865962,0.0181793380293572,,,,,,,,,,1.6046192152785466e-17,55.376344086021504,75.6989247311828,87.74193548387098,65.3225806451613,60.125,关键词新闻评分,8,68.39959677419355,1589,0.5072372561359345,0.1134748427081908,0.0999857334004622,1.134910340195257,0.0082894235180867,,,,,,,,,46.38836074216211,低,27.784531322297926,0.0,100.0,87.02000896981818,9,+0,20260917T223104_score_32afefa4
2026-09-17 22:31:05,2026-09-17,489.27,505.24,511.71,485.62,9761200.0,0.0544,1178067100.0,300776,,,,其它专用机械,30466000000.000004,61.13,6.17,0.0763527907967618,0.0533733633558501,-0.3202012862947714,0.6117650811879924,0.0284365013129237,0.5877740767495159,0.0758405403477466,-0.0519577467828004,1.9427003698339305,490034979.0,-0.0106583934970429,20.887140882353204,24.13987714466092,0.0163585800752494,0.1620745542949757,751691358.507,56.08877015854341,-0.0106290516908659,-0.0236678052199334,0.0541934808916837,0.0087516721350753,0.6121119202759694,0.7520122652357234,0.2479877347642766,0.1399003449597539,1.0823040643822148,0.0062633887826241,,,,,,,,,,0.0055282500662471,84.94623655913979,52.15053763440861,63.494623655913976,73.2258064516129,52.59357500118007,关键词新闻评分,9,68.04968008076317,1641,0.5149299207800122,0.1584988969245945,0.1059850434648987,1.495483624319953,0.0302056510074485,,,,,,,,,46.232130975680604,低,27.784531322297926,0.0,100.0,85.97847719327484,10,+0,20260917T223104_score_32afefa4
