archive_time,date,score,breadth,volume_ratio,limit_up_ratio,stocks
2026-08-18 20:26:24,2026-08-18,47.9313179765895,0.5263157894736842,0.9116237498240006,0.0,19
2026-08-18 20:30:34,2026-08-18,52.54280171978121,0.39622641509433965,0.991378391216078,0.018867924528301886,53
2026-08-18 20:34:34,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:34:36,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:36:18,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:36:31,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:36:38,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:36:40,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:36:43,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:36:52,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:36:54,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:37:13,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:37:15,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:39:59,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:40:08,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:41:33,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:41:55,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:42:01,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:42:11,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:42:13,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:42:14,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:42:15,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:45:13,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:45:24,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:45:55,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:52:06,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:56:03,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 20:56:30,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 21:03:48,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 21:04:27,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-18 21:05:56,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-19 16:44:28,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-19 17:21:54,2026-08-18,51.84889462545906,0.40229885057471265,1.038225459453427,0.011494252873563218,87
2026-08-28 20:38:06,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 20:38:38,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 20:39:12,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 20:39:18,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 20:39:26,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 20:42:45,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 20:42:48,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 20:46:20,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 20:46:23,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 20:46:25,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 21:08:15,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 21:15:56,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
2026-08-28 21:20:49,2026-08-28,36.421899488338376,0.27710843373493976,0.6950666232043682,0.012048192771084338,83
