symbol,date,industry,market_cap,pe_ttm,pb,source
000026,2026-09-05,珠宝首饰,8014000000.0,76.05,2.37,tencent.quote+sina.sw_industry
000034,2026-09-05,IT服务,23853000000.0,40.25,2.09,tencent.quote+sina.sw_industry
000676,2026-09-05,移动互联网服务,8945000000.0,44.18,2.08,tencent.quote+sina.sw_industry
000729,2026-09-05,啤酒,31764999999.999996,16.08,1.95,tencent.quote+sina.sw_industry
000759,2026-09-05,超市,4172000000.0,-4.18,8.26,tencent.quote+sina.sw_industry
000892,2026-09-05,影视动漫,5484000000.0,-14.08,10.85,tencent.quote+sina.sw_industry
000938,2026-09-05,IT服务,100875000000.0,35.88,5.64,tencent.quote+sina.sw_industry
001301,2026-09-05,锂,20324000000.0,23.46,2.82,tencent.quote+sina.sw_industry
001330,2026-09-05,影视动漫,7931000000.0,-13.73,2.14,tencent.quote+sina.sw_industry
002080,2026-09-05,玻纤,79610000000.0,39.28,3.9,tencent.quote+sina.sw_industry
002083,2026-09-05,棉纺,9372000000.0,16.0,1.94,tencent.quote+sina.sw_industry
002156,2026-09-05,集成电路,86306000000.0,34.19,5.12,tencent.quote+sina.sw_industry
002169,2026-09-05,工控自动化,9799000000.0,41.79,3.49,tencent.quote+sina.sw_industry
002272,2026-09-05,机械基础件,8190000000.000001,-236.57,5.57,tencent.quote+sina.sw_industry
002281,2026-09-05,通信传输设备,138830000000.0,120.08,9.6,tencent.quote+sina.sw_industry
002328,2026-09-05,汽车零部件,7687000000.0,19.1,2.2,tencent.quote+sina.sw_industry
002353,2026-09-05,冶金矿采化工设备,128411999999.99998,48.73,5.51,tencent.quote+sina.sw_industry
002384,2026-09-05,印制电路板,327253000000.0,91.29,13.43,tencent.quote+sina.sw_industry
002407,2026-09-05,氟化工及制冷剂,39046000000.0,57.99,4.5,tencent.quote+sina.sw_industry
002512,2026-09-05,计算机,4630000000.0,-39.93,14.37,tencent.quote+sina.sw_industry
002517,2026-09-05,移动互联网服务,37195000000.0,15.62,3.55,tencent.quote+sina.sw_industry
002552,2026-09-05,机械基础件,17832000000.0,74.85,10.89,tencent.quote+sina.sw_industry
002579,2026-09-05,印制电路板,8638000000.0,-106.95,3.75,tencent.quote+sina.sw_industry
002655,2026-09-05,电子系统组装,13749000000.0,306.19,15.71,tencent.quote+sina.sw_industry
002739,2026-09-05,影视动漫,17866000000.0,-101.09,2.49,tencent.quote+sina.sw_industry
002747,2026-09-05,其它通用机械,28944000000.0,145.0,8.78,tencent.quote+sina.sw_industry
002832,2026-09-05,其他服装,15181000000.0,24.21,2.8,tencent.quote+sina.sw_industry
002837,2026-09-05,机械设备,81621000000.0,166.22,22.77,tencent.quote+sina.sw_industry
002851,2026-09-05,电气设备,70886000000.0,316.13,7.76,tencent.quote+sina.sw_industry
002882,2026-09-05,线缆部件及其他,10519000000.0,133.72,4.98,tencent.quote+sina.sw_industry
002957,2026-09-05,其它专用机械,15622999999.999998,50.18,4.72,tencent.quote+sina.sw_industry
002975,2026-09-05,其它专用机械,19779000000.0,66.56,8.01,tencent.quote+sina.sw_industry
003001,2026-09-05,其他专业工程,2838000000.0,-105.81,2.45,tencent.quote+sina.sw_industry
300189,2026-09-05,种子生产,7219000000.0,66.83,10.54,tencent.quote+sina.sw_industry
300191,2026-09-05,油气钻采服务,11731000000.0,62.1,9.54,tencent.quote+sina.sw_industry
300209,2026-09-05,软件开发,32326000000.0,-442.54,34.4,tencent.quote+sina.sw_industry
300285,2026-09-05,无机盐,60212000000.0,93.88,8.27,tencent.quote+sina.sw_industry
300328,2026-09-05,铝,10819000000.0,-208.52,10.46,tencent.quote+sina.sw_industry
300476,2026-09-05,印制电路板,215721000000.0,42.92,5.69,tencent.quote+sina.sw_industry
300622,2026-09-05,专业连锁,5053000000.0,28.77,5.45,tencent.quote+sina.sw_industry
300666,2026-09-05,半导体材料,60763000000.0,77.25,8.33,tencent.quote+sina.sw_industry
300726,2026-09-05,被动元件,20098000000.0,47.37,4.08,tencent.quote+sina.sw_industry
300727,2026-09-05,纺织化学用品,5494000000.0,53.55,4.06,tencent.quote+sina.sw_industry
300776,2026-09-05,其它专用机械,30466000000.000004,61.13,6.17,tencent.quote+sina.sw_industry
300816,2026-09-05,汽车零部件,5120000000.0,56.92,5.24,tencent.quote+sina.sw_industry
300863,2026-09-05,汽车零部件,10587000000.0,76.74,7.3,tencent.quote+sina.sw_industry
300996,2026-09-05,软件开发,5549000000.0,81.2,4.32,tencent.quote+sina.sw_industry
301021,2026-09-05,其他电子,10675000000.0,142.34,10.15,tencent.quote+sina.sw_industry
301128,2026-09-05,其它专用机械,16965000000.0,98.15,17.68,tencent.quote+sina.sw_industry
301133,2026-09-05,汽车零部件,3936000000.0,-59.58,2.96,tencent.quote+sina.sw_industry
301191,2026-09-05,终端设备,8051000000.000001,103.42,4.72,tencent.quote+sina.sw_industry
301217,2026-09-05,铜,83623000000.0,344.73,14.91,tencent.quote+sina.sw_industry
301291,2026-09-05,,10613000000.0,28.76,2.09,tencent.quote
513050,2026-09-05,,36524000000.0,,0.0,tencent.quote
561380,2026-09-05,,4495000000.0,,0.0,tencent.quote
561760,2026-09-05,,216000000.0,,0.0,tencent.quote
562590,2026-09-05,,8584000000.0,,0.0,tencent.quote
600110,2026-09-05,其他电子,19139000000.0,-155.39,3.19,tencent.quote+sina.sw_industry
600166,2026-09-05,商用载货车,22960000000.0,15.39,1.45,tencent.quote+sina.sw_industry
600172,2026-09-05,磨具磨料,22772000000.0,-26.08,67.38,tencent.quote+sina.sw_industry
600176,2026-09-05,玻纤,160846000000.0,35.49,4.85,tencent.quote+sina.sw_industry
600188,2026-09-05,煤炭开采,216394999999.99997,19.1,2.82,tencent.quote+sina.sw_industry
600498,2026-09-05,通信传输设备,51339000000.0,150.08,2.92,tencent.quote+sina.sw_industry
600645,2026-09-05,生物制品,8713000000.0,74.4,2.33,tencent.quote+sina.sw_industry
600769,2026-09-05,房屋建设,5583000000.0,399.25,42.54,tencent.quote+sina.sw_industry
600869,2026-09-05,线缆部件及其他,47050000000.0,389.59,10.76,tencent.quote+sina.sw_industry
601058,2026-09-05,轮胎,50505000000.0,13.11,2.23,tencent.quote+sina.sw_industry
601118,2026-09-05,其他种植业,30083999999.999996,-523.54,3.17,tencent.quote+sina.sw_industry
601133,2026-09-05,,12249000000.0,58.98,4.01,tencent.quote
