symbol,date,industry,market_cap,pe_ttm,pb,source
000026,2026-09-03,珠宝首饰,8022000000.0,76.13,2.37,tencent.quote+sina.sw_industry
000034,2026-09-03,IT服务,24381000000.0,41.14,2.13,tencent.quote+sina.sw_industry
000676,2026-09-03,移动互联网服务,8768000000.0,43.31,2.03,tencent.quote+sina.sw_industry
000729,2026-09-03,啤酒,31708999999.999996,16.05,1.94,tencent.quote+sina.sw_industry
000759,2026-09-03,超市,4238000000.0000005,-4.25,8.39,tencent.quote+sina.sw_industry
000892,2026-09-03,影视动漫,4983000000.0,-12.79,9.86,tencent.quote+sina.sw_industry
000938,2026-09-03,IT服务,109055000000.0,38.79,6.1,tencent.quote+sina.sw_industry
001301,2026-09-03,锂,21046000000.0,24.29,2.93,tencent.quote+sina.sw_industry
001330,2026-09-03,影视动漫,8013000000.0,-13.87,2.16,tencent.quote+sina.sw_industry
002080,2026-09-03,玻纤,83520000000.0,41.21,4.09,tencent.quote+sina.sw_industry
002083,2026-09-03,棉纺,9571000000.0,16.34,1.98,tencent.quote+sina.sw_industry
002156,2026-09-03,集成电路,90343000000.0,35.79,5.36,tencent.quote+sina.sw_industry
002272,2026-09-03,机械基础件,8699000000.0,-251.27,5.92,tencent.quote+sina.sw_industry
002281,2026-09-03,通信传输设备,143615000000.0,124.22,9.93,tencent.quote+sina.sw_industry
002328,2026-09-03,汽车零部件,7795000000.0,19.37,2.23,tencent.quote+sina.sw_industry
002353,2026-09-03,冶金矿采化工设备,126897000000.0,48.15,5.45,tencent.quote+sina.sw_industry
002384,2026-09-03,印制电路板,328151000000.0,91.54,13.47,tencent.quote+sina.sw_industry
002407,2026-09-03,氟化工及制冷剂,41284000000.0,61.31,4.76,tencent.quote+sina.sw_industry
002512,2026-09-03,计算机,4773000000.0,-41.17,14.82,tencent.quote+sina.sw_industry
002517,2026-09-03,移动互联网服务,36426000000.0,15.29,3.47,tencent.quote+sina.sw_industry
002552,2026-09-03,机械基础件,18604000000.0,78.09,11.36,tencent.quote+sina.sw_industry
002579,2026-09-03,印制电路板,8417000000.0,-104.22,3.66,tencent.quote+sina.sw_industry
002655,2026-09-03,电子系统组装,14091999999.999998,313.82,16.1,tencent.quote+sina.sw_industry
002739,2026-09-03,影视动漫,17676000000.0,-100.02,2.46,tencent.quote+sina.sw_industry
002747,2026-09-03,其它通用机械,29845000000.0,149.51,9.06,tencent.quote+sina.sw_industry
002832,2026-09-03,其他服装,14804000000.0,23.61,2.73,tencent.quote+sina.sw_industry
002837,2026-09-03,机械设备,87471000000.0,178.13,24.4,tencent.quote+sina.sw_industry
002851,2026-09-03,电气设备,74378000000.0,331.7,8.14,tencent.quote+sina.sw_industry
002957,2026-09-03,其它专用机械,16472000000.0,52.9,4.98,tencent.quote+sina.sw_industry
002975,2026-09-03,其它专用机械,21288000000.0,71.64,8.62,tencent.quote+sina.sw_industry
003001,2026-09-03,其他专业工程,2840000000.0,-105.88,2.45,tencent.quote+sina.sw_industry
300189,2026-09-03,种子生产,7198999999.999999,66.64,10.51,tencent.quote+sina.sw_industry
300191,2026-09-03,油气钻采服务,11642000000.0,61.63,9.47,tencent.quote+sina.sw_industry
300209,2026-09-03,软件开发,32595000000.0,-446.23,34.69,tencent.quote+sina.sw_industry
300285,2026-09-03,无机盐,63441999999.99999,98.92,8.71,tencent.quote+sina.sw_industry
300328,2026-09-03,铝,11033000000.0,-212.64,10.67,tencent.quote+sina.sw_industry
300476,2026-09-03,印制电路板,218669999999.99997,43.51,5.77,tencent.quote+sina.sw_industry
300622,2026-09-03,专业连锁,4995000000.0,28.45,5.39,tencent.quote+sina.sw_industry
300666,2026-09-03,半导体材料,62783000000.00001,79.82,8.61,tencent.quote+sina.sw_industry
300726,2026-09-03,被动元件,21247000000.0,50.08,4.32,tencent.quote+sina.sw_industry
300727,2026-09-03,纺织化学用品,5710000000.0,55.66,4.22,tencent.quote+sina.sw_industry
300776,2026-09-03,其它专用机械,31401000000.0,63.01,6.36,tencent.quote+sina.sw_industry
300816,2026-09-03,汽车零部件,5164000000.0,57.41,5.29,tencent.quote+sina.sw_industry
300863,2026-09-03,汽车零部件,10835000000.0,78.54,7.47,tencent.quote+sina.sw_industry
300996,2026-09-03,软件开发,5426000000.0,79.41,4.23,tencent.quote+sina.sw_industry
301021,2026-09-03,其他电子,11312000000.0,150.84,10.75,tencent.quote+sina.sw_industry
301128,2026-09-03,其它专用机械,18428000000.0,106.61,19.2,tencent.quote+sina.sw_industry
301133,2026-09-03,汽车零部件,4010000000.0,-60.7,3.01,tencent.quote+sina.sw_industry
301191,2026-09-03,终端设备,8448999999.999999,108.54,4.95,tencent.quote+sina.sw_industry
301217,2026-09-03,铜,86914000000.0,358.3,15.49,tencent.quote+sina.sw_industry
301291,2026-09-03,,10147000000.0,27.49,2.0,tencent.quote
513050,2026-09-03,,35798000000.0,,0.0,tencent.quote
561380,2026-09-03,,4547000000.0,,0.0,tencent.quote
561760,2026-09-03,,215000000.0,,0.0,tencent.quote
562590,2026-09-03,,8822000000.0,,0.0,tencent.quote
600110,2026-09-03,其他电子,19798000000.0,-160.74,3.3,tencent.quote+sina.sw_industry
600166,2026-09-03,商用载货车,22644000000.0,15.17,1.43,tencent.quote+sina.sw_industry
600172,2026-09-03,磨具磨料,22960000000.0,-26.3,67.94,tencent.quote+sina.sw_industry
600176,2026-09-03,玻纤,170654000000.0,37.66,5.15,tencent.quote+sina.sw_industry
600188,2026-09-03,煤炭开采,218302000000.0,19.27,2.84,tencent.quote+sina.sw_industry
600498,2026-09-03,通信传输设备,53457000000.00001,156.28,3.04,tencent.quote+sina.sw_industry
600645,2026-09-03,生物制品,8755000000.0,74.76,2.34,tencent.quote+sina.sw_industry
600769,2026-09-03,房屋建设,5782000000.0,413.46,44.05,tencent.quote+sina.sw_industry
600869,2026-09-03,线缆部件及其他,46717000000.0,386.84,10.69,tencent.quote+sina.sw_industry
601058,2026-09-03,轮胎,50801000000.0,13.19,2.24,tencent.quote+sina.sw_industry
601118,2026-09-03,其他种植业,29057000000.0,-505.67,3.06,tencent.quote+sina.sw_industry
601133,2026-09-03,,12586000000.0,60.6,4.12,tencent.quote
601208,2026-09-03,其他塑料制品,46832000000.0,115.11,7.59,tencent.quote+sina.sw_industry
603011,2026-09-03,机械设备,12509000000.0,-42.76,6.73,tencent.quote+sina.sw_industry
603026,2026-09-03,化工,14422999999.999998,27.63,2.67,tencent.quote+sina.sw_industry
603200,2026-09-03,环保工程及服务,7630000000.0,-317.47,7.03,tencent.quote+sina.sw_industry
603318,2026-09-03,其它专用机械,5103000000.0,226.05,2.66,tencent.quote+sina.sw_industry
603466,2026-09-03,装修装饰,7191000000.0,123.16,3.39,tencent.quote+sina.sw_industry
603533,2026-09-03,移动互联网服务,10222000000.0,-153.82,4.49,tencent.quote+sina.sw_industry
603613,2026-09-03,互联网信息服务,13625000000.0,10.26,1.39,tencent.quote+sina.sw_industry
603650,2026-09-03,其他化学制品,36484000000.0,60.74,8.69,tencent.quote+sina.sw_industry
603893,2026-09-03,集成电路,82048000000.0,59.98,16.67,tencent.quote+sina.sw_industry
603929,2026-09-03,建筑装饰,33070999999.999996,27.07,13.85,tencent.quote+sina.sw_industry
603936,2026-09-03,印制电路板,10868000000.0,-131.61,2.55,tencent.quote+sina.sw_industry
605277,2026-09-03,线缆部件及其他,7123000000.0,28.45,4.04,tencent.quote+sina.sw_industry
688008,2026-09-03,集成电路,231914000000.0,75.45,10.89,tencent.quote+sina.sw_industry
688017,2026-09-03,机械基础件,53241000000.0,377.44,14.92,tencent.quote+sina.sw_industry
688019,2026-09-03,半导体材料,50841000000.0,54.1,10.41,tencent.quote+sina.sw_industry
688031,2026-09-03,软件开发,13387000000.0,-62.25,17.86,tencent.quote+sina.sw_industry
688146,2026-09-03,,122765000000.00002,238.11,20.43,tencent.quote
688152,2026-09-03,,3684000000.0000005,-73.5,3.02,tencent.quote
