symbol,date,industry,market_cap,pe_ttm,pb,source
000026,2026-08-29,珠宝首饰,8144000000.0,77.28,2.41,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
000034,2026-08-29,IT服务,24483000000.0,41.31,2.14,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
000676,2026-08-29,移动互联网服务,8403000000.0,41.51,1.95,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
000729,2026-08-29,啤酒,32554000000.000004,16.48,2.0,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
000759,2026-08-29,超市,4133000000.0,-4.14,8.18,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
000892,2026-08-29,影视动漫,3836000000.0,-9.85,7.59,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
000938,2026-08-29,IT服务,102648000000.0,36.51,5.74,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
001301,2026-08-29,锂,21458000000.0,24.77,2.98,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
001330,2026-08-29,影视动漫,7009999999.999999,-12.13,1.89,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
002080,2026-08-29,玻纤,87950000000.0,43.39,4.31,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
002083,2026-08-29,棉纺,10224000000.0,17.46,2.11,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
002156,2026-08-29,集成电路,96747000000.0,38.33,5.74,tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote+sina.sw_industry+tencent.quote
